Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
MRNA,"Moderna Inc",158.58,1.1,+0.70%,159.05,147.1,14923801,02/02/21
KOPN,"Kopin Cp",6.76,1.56,+30.00%,7.08,5.51,14827600,02/02/21
NLY,"Annaly Capital Management Inc",8.39,0.1,+1.21%,8.42,8.3,14711700,02/02/21
HOG,"Harley-Davidson Inc",33.26,-6.89,-17.16%,35.79,31.2,14431200,02/02/21
TELL,"Tellurian Inc",3.26,0.19,+6.19%,3.38,3.11,14405800,02/02/21
HEXO,"Hexo Corp",7.12,0.85,+13.56%,7.14,6.32,14376300,02/02/21
CX,"Cemex S.A.B. DE C.V.",6.26,0.29,+4.86%,6.32,6.06,14012700,02/02/21
TWTR,"Twitter Inc",54,1.34,+2.54%,54.87,52.71,13977000,02/02/21
X,"United States Steel Corp",17.64,-0.51,-2.81%,18.33,17.37,13896100,02/02/21
MS,"Morgan Stanley",70.95,3.28,+4.85%,71.37,69.02,13893899,02/02/21
COTY,"Coty Inc",6.67,0.11,+1.68%,6.77,6.49,13890200,02/02/21
XSPA,"Xpresspa Group Inc",2.23,-0.1,-4.29%,2.32,2.02,13780800,02/02/21
PBI,"Pitney Bowes Inc",8.72,-2.07,-19.18%,9.88,8.23,13628199,02/02/21
TIGR,"Up Fintech Holding Ltd ADR",20.2,1.5,+8.02%,21.99,18.85,13581600,02/02/21
MVIS,Microvision,7.63,0.26,+3.46%,8.13,7.1,13461000,02/02/21
KO,"Coca-Cola Company",48.96,0.48,+0.99%,49.35,48.63,13319700,02/02/21
UAL,"United Airlines Holdings Inc",40.83,0.9,+2.24%,40.9,39.94,13118600,02/02/21
RLX,"Rlx Technology Inc",25.87,2.87,+12.48%,25.99,23.63,13088899,02/02/21
KGC,"Kinross Gold Corp",7.03,-0.16,-2.23%,7.05,6.85,13088899,02/02/21
NCLH,"Norwegian Cruise Ord",22.94,0.54,+2.41%,23.31,22.35,12971900,02/02/21
BSX,"Boston Scientific Corp",36.64,0.69,+1.92%,37.06,35.97,12475801,02/02/21
APA,"Apache Corp",15.56,0.44,+2.91%,16.41,15.54,12371500,02/02/21
JPM,"JP Morgan Chase & Company",133.61,3.99,+3.08%,134.39,131.22,12253500,02/02/21
DIS,"Walt Disney Company",176.96,5.99,+3.50%,179.76,172.8,12215200,02/02/21
DAL,"Delta Air Lines Inc",38.8,0.98,+2.59%,38.88,37.99,11854200,02/02/21
IMVT,"Immunovant Inc",25.08,-18.22,-42.08%,29.54,22.5,11763000,02/02/21
JD,"Jd.com Inc Ads",95.42,4.15,+4.55%,96.05,94.22,11522400,02/02/21
JNJ,"Johnson & Johnson",161.25,-1.46,-0.90%,163.66,161.18,11443200,02/02/21
MU,"Micron Technology",81.62,1.19,+1.48%,81.74,79.92,11386101,02/02/21
AZN,"Astrazeneca Plc",50.06,-0.34,-0.67%,50.63,50.02,11349700,02/02/21
V,"Visa Inc",202.61,4.25,+2.14%,204.35,200,11305000,02/02/21
AES,"The Aes Corp",25.75,0.94,+3.79%,26.17,24.94,11209600,02/02/21
KR,"Kroger Company",33.1,-0.6,-1.78%,33.6,32.84,11133600,02/02/21
BA,"Boeing Company",200.94,5.1,+2.60%,203.03,198.09,11130600,02/02/21
CLOV,"Clover Health Investments Corp",13.97,0.16,+1.16%,14.4,13.91,11088899,02/02/21
SLB,"Schlumberger N.V.",22.51,0.35,+1.58%,23.09,22.35,11057999,02/02/21
DRRX,"Durect Corp",2.48,0.38,+18.10%,2.85,2.41,10775300,02/02/21
UPS,"United Parcel Service",160.29,4.03,+2.58%,164.2,156.93,10758300,02/02/21
SHLS,"Shoals Tech Group Inc",38.84,1.16,+3.08%,41.76,35.1,10671101,02/02/21
AGTC,"Applied Genetic Tech",4.01,0.06,+1.52%,4.19,3.94,10565000,02/02/21
DVN,"Devon Energy Corp",16.96,0.2,+1.19%,17.52,16.85,10544500,02/02/21
ORCL,"Oracle Corp",62.37,0.86,+1.40%,62.92,61.79,10528000,02/02/21
JMIA,"Jumia Technologies Ag ADR",61.39,-1.41,-2.25%,67.67,61.08,10519101,02/02/21
VIPS,"Vipshop Holdings Ltd",31.32,2.07,+7.08%,31.44,29.33,10487101,02/02/21
ABBV,"Abbvie Inc",103.47,1.17,+1.14%,104.31,102.5,10481200,02/02/21
MGM,"MGM Resorts International",30.64,1.37,+4.68%,31.14,29.76,10432601,02/02/21
SPWR,"Sunpower Corp",43.76,-4.93,-10.13%,49,43.28,10338700,02/02/21
MO,"Altria Group",41.57,0.8,+1.96%,41.78,40.57,10121600,02/02/21
RKT,"Rocket Companies Inc Cl A",20.94,-0.6,-2.79%,21.98,20.93,10117000,02/02/21
LVS,"Las Vegas Sands",52.16,3.09,+6.30%,52.69,49.42,10098200,02/02/21
HBAN,"Huntington Bcshs",13.53,0.31,+2.34%,13.57,13.31,10087600,02/02/21
PINS,"Pinterest Inc",73.87,3.15,+4.45%,74.13,71.37,10042899,02/02/21
SLM,"SLM Corp",14.93,1.15,+8.35%,14.97,14.26,10006100,02/02/21
BTG,"B2Gold Corp",4.96,-0.03,-0.60%,5,4.84,9966899,02/02/21
CLDR,"Cloudera Inc",16.9,0.72,+4.45%,17.54,15.93,9944899,02/02/21
CRON,"Cronos Group Inc",11.35,1.15,+11.27%,11.6,10.2,9871801,02/02/21
CCJ,"Cameco Corp",13.67,-0.96,-6.56%,14.81,13.54,9844000,02/02/21
TME,"Tencent Music Entertainment Group ADR",27.65,0.66,+2.45%,27.99,26.48,9748700,02/02/21
DISCA,"Discovery Comm A",40.08,-2.04,-4.84%,42.48,39.98,9691900,02/02/21
EXK,"Endeavour Silver Corp",4.93,-1.03,-17.28%,5.24,4.74,9655900,02/02/21
CDE,"Coeur Mining Inc",9.03,-2.11,-18.94%,10.05,8.92,9601200,02/02/21
TTOO,"T2 Biosystems CS",2.23,0.05,+2.29%,2.38,2.15,9522200,02/02/21
QS,"Quantumscape Corp",42.58,0.25,+0.59%,44.68,41.12,9465101,02/02/21
MRK,"Merck & Company",77.77,0.41,+0.53%,78.92,77.7,9414700,02/02/21
GSX,"Gsx Techedu Inc ADR",83.46,-13,-13.48%,90.88,81.38,9395500,02/02/21
LLNW,"Limelight Networks",4.37,-0.31,-6.52%,4.57,4.23,9318200,02/02/21
TSM,"Taiwan Semiconductor Manufacturing",128.44,1.78,+1.41%,130.25,127.45,9302300,02/02/21
ATHX,"Athersys Inc",2.47,0.03,+1.23%,2.49,2.23,9244100,02/02/21
CVX,"Chevron Corp",87.06,0.65,+0.75%,88.37,86.53,9233000,02/02/21
IQ,"Iqiyi Inc ADR",22.22,0.33,+1.51%,22.56,21.61,9224100,02/02/21
VTRS,"Viatris Inc",17.38,-0.07,-0.37%,17.75,17.36,9194000,02/02/21
SRGA,"Surgalign Hldg Inc",2.01,0.31,+18.24%,2.18,1.75,9145300,02/02/21
WORK,"Slack Technologies Inc",42.73,0.22,+0.52%,43.09,42.66,9112899,02/02/21
FUTU,"Futu Holdings Ltd",116.97,11.97,+11.40%,121.63,112.12,9060500,02/02/21
KERN,"Akerna Corp Cl A",7.09,0.89,+14.35%,7.2,5.92,9053500,02/02/21
OPTT,"Ocean Power Tech Inc",4.46,0.07,+1.59%,4.81,4.4,9040800,02/02/21
JBLU,"Jetblue Airways Cp",14.43,0.11,+0.77%,14.64,14.25,9028899,02/02/21
WMT,"Wal-Mart Stores",140.77,1.5,+1.08%,142.15,139.44,9000700,02/02/21
IPOE,"Social Capital Hedosophia Corp V Cl A",24.33,-1.45,-5.62%,26.18,23.85,8973900,02/02/21
PAAS,"Pan Amer Silver Corp",31.5,-4.88,-13.41%,34.3,31.41,8884100,02/02/21
HAL,"Halliburton Company",18.02,0.16,+0.90%,18.63,18.02,8862800,02/02/21
COP,Conocophillips,40.97,0.26,+0.64%,42.3,40.9,8834000,02/02/21
CVE,"Cenovus Energy Inc",6.19,-0.03,-0.48%,6.45,6.17,8807399,02/02/21
WMB,"Williams Companies",21.42,0.13,+0.61%,22.03,21.36,8737101,02/02/21
SCHW,"The Charles Schwab Corp",54.54,1.17,+2.19%,55.34,54.11,8720601,02/02/21
THCB,"Tuscan Holdings Corp",21.4,-3.1,-12.65%,23.76,20.79,8720000,02/02/21
RTX,"Raytheon Technologies Corp",70.14,3.18,+4.75%,70.42,67.55,8710500,02/02/21
MRVL,"Marvell Tech Group",52.86,-0.01,-0.02%,54.01,51.85,8708400,02/02/21
CLF,"Cleveland-Cliffs Inc",15.18,-0.5,-3.19%,15.81,15.02,8658100,02/02/21
RDS.A,"Royal Dutch Shell ADR Cl A",36.17,-0.45,-1.23%,37.1,36.04,8651399,02/02/21
ACAC,"Acies Acquisition Corp Cl A",11.78,0.37,+3.24%,13.2,11.45,8624000,02/02/21
KHC,"Kraft Heinz Company",33.16,-0.09,-0.27%,34.89,32.73,8602200,02/02/21
EBAY,"Ebay Inc",57.33,-1.14,-1.95%,58.78,57.1,8580800,02/02/21
AM,"Antero Midstream Corp",7.71,-0.29,-3.62%,7.84,7.6,8549400,02/02/21
NKLA,"Nikola Corp",23,-0.51,-2.17%,23.97,22.56,8487200,02/02/21
GERN,"Geron Corp",2.06,0.16,+8.16%,2.08,1.91,8435900,02/02/21
"Downloaded from Barchart.com as of 02-03-2021 05:31am CST"
